–езультаты расчета
ar/ћес€ц   S1   S2   S3   S4   S5   S6   S7   S8   S9   S10   Sдоп1   Sдоп2   Sдоп3   —умма      
0,50/ 1   2,408   4,800   4,800   713,387   5,184   30,670   457,627   379,269   45,865   111,406   0,000   0,000   0,000   1598,145      
0,50/ 2   4,815   9,600   9,600   356,693   2,592   15,335   228,814   189,634   22,932   55,703   0,000   0,000   0,000   817,083      
0,50/ 3   7,223   14,400   14,400   237,796   1,728   10,223   152,542   126,423   15,288   37,135   0,000   0,000   0,000   564,735      
0,50/ 4   9,631   19,200   19,200   178,347   1,296   7,667   114,407   94,817   11,466   27,851   0,000   0,000   0,000   444,565      
0,50/ 5   12,038   24,000   24,000   142,677   1,037   6,134   91,525   75,854   9,173   22,281   0,000   0,000   0,000   377,265      
0,50/ 6   14,446   28,800   28,800   118,898   0,864   5,112   76,271   63,211   7,644   18,568   0,000   0,000   0,000   336,402      
0,50/ 7   16,854   33,600   33,600   101,912   0,741   4,381   65,375   54,181   6,552   15,915   0,000   0,000   0,000   310,644      
0,50/ 8   19,261   38,400   38,400   89,173   0,648   3,834   57,203   47,409   5,733   13,926   0,000   0,000   0,000   294,328      
0,50/ 9   21,669   43,200   43,200   79,265   0,576   3,408   50,847   42,141   5,096   12,378   0,000   0,000   0,000   284,306      
0,50/10   24,077   48,000   48,000   71,339   0,518   3,067   45,763   37,927   4,586   11,141   0,000   0,000   0,000   278,691      
0,50/11   26,484   52,800   52,800   64,853   0,471   2,788   41,602   34,479   4,170   10,128   0,000   0,000   0,000   276,277      
0,50/12   28,892   57,600   57,600   59,449   0,432   2,556   38,136   31,606   3,822   9,284   0,000   0,000   0,000   276,271      
0,50/13   31,300   62,400   62,400   54,876   0,399   2,359   35,202   29,175   3,528   8,570   0,000   0,000   0,000   278,111      
0,50/14   33,708   67,200   67,200   50,956   0,370   2,191   32,688   27,091   3,276   7,958   0,000   0,000   0,000   281,404      
0,50/15   36,115   72,000   72,000   47,559   0,346   2,045   30,508   25,285   3,058   7,427   0,000   0,000   0,000   285,858      
0,50/16   38,523   76,800   76,800   44,587   0,324   1,917   28,602   23,704   2,867   6,963   0,000   0,000   0,000   291,257      
0,50/17   40,931   81,600   81,600   41,964   0,305   1,804   26,919   22,310   2,698   6,553   0,000   0,000   0,000   297,433      
0,50/18   43,338   86,400   86,400   39,633   0,288   1,704   25,424   21,070   2,548   6,189   0,000   0,000   0,000   304,257      
